cl_MAP,cl_MAT,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,Na2O,MgO,K2O,lCaO,factor1,factor2,factor3,factor4
1383.74,6.925,5.815552028,0.050456103,0.154618681,57.90708235,0.839024187,0.021992435,5.448628377,0.981831783,0.235480929,1.454705457,-1.515120935,0.2885821606,-0.268062602,0.9092508961,0.2872837172
1221.19,7.965,5.415785077,0.071405019,0.086842544,64.80513369,0.802835696,0.012697555,12.74211222,1.220110527,1.353399668,1.838573666,0.0278869531,-0.332035524,-0.175429602,-0.240120741,0.2883592775
1305.09,8.28,6.104089352,0.080314506,0.08936304,65.92834225,0.908924103,0.018641091,12.19251842,1.169834209,0.771973466,1.921214312,-0.375062601,0.0273380136,0.1779619275,0.0701822555,-0.118389763
1359.24,6.95,2.561155332,0.041788076,0.172140711,68.53142032,0.521919933,0.023664731,7.562433403,2.313772746,0.963865672,2.28597157,0.7592718802,-1.666278675,1.2548082812,0.2654559336,-0.039908762
1316.26,9.15,3.661996076,0.098779095,0.06530376,76.97989305,0.460550459,0.008510063,10.47610051,1.483083974,0.629021559,1.722322612,0.0698791272,-1.238214844,-0.130658376,-0.037076551,-0.038304501
1256.28,8.01,8.364884369,0.075278709,0.085009456,51.35572193,1.365471226,0.007429421,13.50273947,0.471896482,0.995024876,1.718467654,-1.304476342,1.1494446208,-0.985889546,-0.131442288,0.9374850407
1216.95,10.57,2.020160181,0.044934804,0.059117088,75.99037433,0.452376981,0.012022153,7.784810127,2.144628656,0.383416252,2.296108903,0.2073680832,-2.064962546,0.6308520827,0.545268124,0.2222044963
1221.36,8.215,4.287246305,0.059913072,0.09050872,71.47251337,0.707256047,0.012427394,10.5318345,1.449521499,0.870480929,1.771834719,0.0400657233,-0.839426661,-0.060716,0.0845907394,0.1355843981
1313.56,9.31,5.355447643,0.190972917,0.106319104,72.20919786,0.664053378,0.009995948,12.56697525,1.609650896,0.777446103,1.918443561,-0.31248669,-0.575560499,0.5428313887,-0.27595975,0.0995672945
1313.83,9.425,6.261510002,0.038091285,0.149854944,63.36278075,0.839532944,0.011616912,11.48346873,1.326189513,1.019402985,2.056740152,-0.412842104,-0.352413222,0.0352884091,0.1082286294,0.5899535068
1228.89,8.02,7.764512609,0.053456922,0.107923056,53.55614973,1.151626355,0.005808456,10.95522388,0.633912926,0.428689884,1.881941935,-1.232323693,0.5441500249,-0.915578216,0.0324674064,0.8687279968
1280.9,8.125,9.082070544,0.067789575,0.098757616,62.54609626,1.151125938,0.011751992,11.68127716,0.797681628,0.799502488,2.000361402,-0.618839232,0.504700957,-0.272470895,0.1039241407,0.4899374685
1344.95,6.505,6.978151425,0.042105719,0.251123891,47.14407701,0.901179316,0.021399433,5.770782165,0.579388058,0.259963516,1.422628599,-3.413154352,1.2301493855,-0.445868886,1.447038845,0.9495068558
1339.33,7.62,7.597882636,0.061008035,0.251217836,50.34722995,1.084513761,0.020707821,5.165684867,0.530424586,0.237512438,1.340652933,-4.560943657,1.6357994436,-0.301019354,2.1979825857,1.3753079672
