PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
00P0001,3.13,0.04,0.17,72.2,0.67,0.02,5.46,0.31,1.21,0.57,1.33,0.2,0.01,0.01,12.02,0.08,0,0.54,0.06,0.19,0.14,0.14,-1.171182982,1220.22,12.36,,,-2.813410717,307.1807365,-0.64012892,0.294524874,0.348747618,0.342279586
00P0006,4.32,0.07,0.13,72.53,0.81,0.02,6.91,0.49,1.46,0.82,1.81,0.27,0.01,0,12.07,0.1,0,0.68,0.09,0.24,0.2,0.19,-0.713349888,1219.59,12.27,,,-2.407945609,252.9157464,-0.75325719,0.297219279,0.847793318,0.59829336
00P0011,4.12,0.08,0.25,71.08,0.81,0.02,5.86,0.45,1.31,0.77,1.6,0.26,0.01,0.01,11.83,0.1,0,0.57,0.08,0.21,0.19,0.17,-0.798507696,1220.99,12.295,,,-2.525728644,262.1957868,-0.55438121,0.037498149,0.562166973,0.579249221
00P0016,4.64,0.09,0.13,74.07,0.74,0.02,7.73,1.09,1.62,1.24,1.57,0.29,0.01,0,12.33,0.09,0,0.76,0.19,0.26,0.31,0.17,0.086177696,1240.38,11.8,,,-1.660731207,289.8702325,-0.754644877,0.197446112,0.765417005,0.620192861
00P0021,3.94,0.05,0.1,70.01,0.82,0.02,6.64,0.75,1.75,0.99,1.6,0.25,0.01,0,11.65,0.1,0,0.65,0.13,0.28,0.24,0.17,-0.287682072,1229.19,12.01,,,-2.040220829,269.594401,-0.794582978,0.18330882,0.778219092,0.821432664
00P0041,6.24,0.18,0.07,52.97,0.87,0.01,6.76,0.55,0.68,0.75,1.69,0.39,0.03,0,8.82,0.11,0,0.66,0.1,0.11,0.19,0.18,-0.597837001,812.52,5.35,,,-2.302585093,-347.8597563,0.478040103,0.231245949,0.079763738,0.465579582
00P0043,3.17,0.05,0.08,63.17,0.41,0,5.95,1.51,2.24,0.48,2.55,0.2,0.01,0,10.51,0.05,0,0.58,0.27,0.36,0.12,0.27,0.412109651,894.18,6.42,,,-1.30933332,269.3384707,-1.807033078,-0.70199293,0.699554514,0.751318319
00P0052,2.27,0.04,0.09,56.05,0.35,0.02,7.87,9.46,0.83,1.27,1.63,0.14,0.01,0,9.33,0.04,0,0.77,1.69,0.13,0.32,0.17,2.247072383,248.11,11.335,,,0.524728529,-366.1319331,-0.943912231,0.483688572,-1.581068375,0.110535038
00P0054,2.74,0.02,0.13,59.55,0.39,0.02,8.83,6.48,0.55,1.38,1.54,0.17,0,0,9.91,0.05,0,0.87,1.16,0.09,0.34,0.16,1.86872051,237.95,11.63,,,0.148420005,-556.9774075,-0.653114546,1.020487217,-1.050216223,0.156167526
00P0055,2.16,0.03,0.08,59.7,0.33,0.02,7.34,8.94,0.7,1.2,1.63,0.14,0,0,9.94,0.04,0,0.72,1.59,0.11,0.3,0.17,2.190535589,241.31,11.675,,,0.463734016,-419.7273015,-1.056904126,0.929841377,-1.371598157,0.248390795
00P0186,2.57,0.05,0.08,57.59,0.28,0,8.88,2.52,2.84,0.81,2.11,0.16,0.01,0,9.58,0.04,0,0.87,0.45,0.46,0.2,0.22,0.924258902,913.11,6.415,,,-0.798507696,371.7239672,-1.743026541,-1.187894116,0.306367239,0.611712144
00P0189,1.87,0.02,0.02,62.84,0.3,0,8.11,2.2,2.73,0.38,1.93,0.12,0,0,10.46,0.04,0,0.8,0.39,0.44,0.09,0.2,0.78845736,895.16,6.315,,,-0.94160854,330.6082087,-1.884932156,-0.589074965,0.409135266,0.563042464
00P0192,7.78,0.14,0.31,41.76,0.86,0.02,13.48,3.2,1.86,3.34,0.76,0.49,0.02,0.01,6.95,0.11,0,1.32,0.57,0.3,0.83,0.08,1.16315081,1156.11,5.81,,,-0.562118918,-14.54396739,1.084414686,-1.188782337,-0.588507062,1.105264468
00P0194,5.45,0.07,0.11,51.84,0.69,0,10.36,3.33,2.74,2.1,2.43,0.34,0.01,0,8.63,0.09,0,1.02,0.59,0.44,0.52,0.26,1.202972304,450.2,10.1,,,-0.527632742,-323.6483548,-1.056846581,-1.489059317,0.500289485,1.317412199
