PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
00P0001,3.13,0.04,0.17,72.20,0.67,0.02,5.46,0.31,1.21,0.57,1.33,0.20,0.01,0.01,12.02,0.08,,0.54,0.06,0.19,0.14,0.14,-1.17,1220.22,12.36,,,-2.813410717,240.11338704,-0.747026351,-0.298001982,1.1602995564,0.7348560538
00P0006,4.32,0.07,0.13,72.53,0.81,0.02,6.91,0.49,1.46,0.82,1.81,0.27,0.01,,12.07,0.10,,0.68,0.09,0.24,0.20,0.19,-0.71,1219.59,12.27,,,-2.407945609,262.56004173,-0.743193826,0.3666688272,0.843727991,0.7279659385
00P0011,4.12,0.08,0.25,71.08,0.81,0.02,5.86,0.45,1.31,0.77,1.60,0.26,0.01,0.01,11.83,0.10,,0.57,0.08,0.21,0.19,0.17,-0.80,1220.99,12.295,,,-2.525728644,205.63018464,-0.65531832,0.070987894,1.0765993483,0.9252467022
00P0016,4.64,0.09,0.13,74.07,0.74,0.02,7.73,1.09,1.62,1.24,1.57,0.29,0.01,,12.33,0.09,,0.76,0.19,0.26,0.31,0.17,0.09,1240.38,11.8,,,-1.660731207,302.73635868,-0.740217731,0.3982043021,0.6810521668,0.7280488252
00P0021,3.94,0.05,0.10,70.01,0.82,0.02,6.64,0.75,1.75,0.99,1.60,0.25,0.01,,11.65,0.10,,0.65,0.13,0.28,0.24,0.17,-0.29,1229.19,12.01,,,-2.040220829,284.6011261,-0.772684706,0.4070935112,0.6852230896,0.9278784317
00P0041,6.24,0.18,0.07,52.97,0.87,0.01,6.76,0.55,0.68,0.75,1.69,0.39,0.03,,8.82,0.11,,0.66,0.10,0.11,0.19,0.18,-0.60,812.52,5.35,,,-2.302585093,-328.9041998,0.5338010511,-0.193331573,0.0276652156,0.5153321828
00P0043,3.17,0.05,0.08,63.17,0.41,0.00,5.95,1.51,2.24,0.48,2.55,0.20,0.01,,10.51,0.05,,0.58,0.27,0.36,0.12,0.27,0.41,894.18,6.42,,,-1.30933332,287.56480893,-1.761040659,1.0032465236,-0.063317696,0.7693843609
00P0052,2.27,0.04,0.09,56.05,0.35,0.02,7.87,9.46,0.83,1.27,1.63,0.14,0.01,,9.33,0.04,,0.77,1.69,0.13,0.32,0.17,2.25,248.11,11.335,,,0.5247285289,-366.1232675,-0.957569226,-1.460961076,-0.77544123,0.2023777004
00P0054,2.74,0.02,0.13,59.55,0.39,0.02,8.83,6.48,0.55,1.38,1.54,0.17,,,9.91,0.05,,0.87,1.16,0.09,0.34,0.16,1.87,237.95,11.63,,,0.1484200051,-518.8920175,-0.529953415,-1.260510976,-0.405468499,-0.023223931
00P0055,2.16,0.03,0.08,59.70,0.33,0.02,7.34,8.94,0.70,1.20,1.63,0.14,,,9.94,0.04,,0.72,1.59,0.11,0.30,0.17,2.19,241.31,11.675,,,0.4637340162,-386.6981247,-0.925303222,-1.445506911,-0.677953582,0.1029310364
00P0186,2.57,0.05,0.08,57.59,0.28,0.00,8.88,2.52,2.84,0.81,2.11,0.16,0.01,,9.58,0.04,,0.87,0.45,0.46,0.20,0.22,0.92,913.11,6.415,,,-0.798507696,399.98427615,-1.667843857,1.1339310863,-0.821601839,0.4623916548
